==========================================
Mass Fraction MPI Run
==========================================
Date:               Mon Sep  7 22:42:58 CDT 2026
Host:               ac063
Array job ID:       2099372
Array task ID:      1
MPI ranks:          8
CPUs per task:      1
Nodes allocated:    1
Python:             /scratch/user/u.hm357857/.conda/envs/comets/bin/python
Conda environment:  /scratch/user/u.hm357857/.conda/envs/comets
==========================================

Running 800 simulations with 1 MPI ranks
Rank 0: 800 simulations
Running 800 simulations with 1 MPI ranks
Rank 0: 800 simulations
Running 800 simulations with 1 MPI ranks
Rank 0: 800 simulations
Running 800 simulations with 1 MPI ranks
Rank 0: 800 simulations
Running 800 simulations with 1 MPI ranks
Rank 0: 800 simulations
Running 800 simulations with 1 MPI ranks
Rank 0: 800 simulations
Running 800 simulations with 1 MPI ranks
Rank 0: 800 simulations
Running 800 simulations with 1 MPI ranks
Rank 0: 800 simulations
t=76637  fraction=0.52500  peak_slope=1.683e-05  t_peak=34835  comparison cadence=69670  difference=0.52500  below=0/3
t=76637  fraction=0.53875  peak_slope=2.210e-05  t_peak=28863  comparison cadence=57727  difference=0.52000  below=0/3
t=69670  fraction=0.46000  peak_slope=1.783e-05  t_peak=27868  comparison cadence=55736  difference=0.46000  below=0/3
t=85595  fraction=0.56625  peak_slope=2.060e-05  t_peak=30854  comparison cadence=61708  difference=0.47000  below=0/3
t=72656  fraction=0.50750  peak_slope=1.934e-05  t_peak=27868  comparison cadence=55736  difference=0.50500  below=0/3
t=75642  fraction=0.52000  peak_slope=1.959e-05  t_peak=26873  comparison cadence=53745  difference=0.47500  below=0/3
t=82609  fraction=0.51750  peak_slope=1.859e-05  t_peak=34835  comparison cadence=69670  difference=0.51750  below=0/3
t=86590  fraction=0.56875  peak_slope=2.060e-05  t_peak=30854  comparison cadence=61708  difference=0.45750  below=0/3
t=77632  fraction=0.52625  peak_slope=1.683e-05  t_peak=34835  comparison cadence=69670  difference=0.52625  below=0/3
t=77632  fraction=0.54250  peak_slope=2.210e-05  t_peak=28863  comparison cadence=57727  difference=0.50750  below=0/3
t=72656  fraction=0.49000  peak_slope=2.060e-05  t_peak=29859  comparison cadence=59717  difference=0.49000  below=0/3
t=70665  fraction=0.46625  peak_slope=1.783e-05  t_peak=27868  comparison cadence=55736  difference=0.46625  below=0/3
t=73651  fraction=0.51000  peak_slope=1.934e-05  t_peak=27868  comparison cadence=55736  difference=0.50375  below=0/3
